Expiry,Tenor,Spread,LogNormalVol
10Y,10Y,-200,0.6897
10Y,10Y,-150,0.4973
10Y,10Y,-100,0.4034
10Y,10Y,-75,0.3703
10Y,10Y,-50,0.3428
10Y,10Y,-25,0.3199
10Y,10Y,0,0.3007
10Y,10Y,25,0.2849
10Y,10Y,50,0.2719
10Y,10Y,75,0.2613
10Y,10Y,100,0.2527
10Y,10Y,150,0.2409
10Y,10Y,200,0.2342
1M,10Y,-200,NA
1M,10Y,-150,1.5201
1M,10Y,-100,0.8195
1M,10Y,-75,0.6487
1M,10Y,-50,0.5274
1M,10Y,-25,0.4435
1M,10Y,-20,0.4306
1M,10Y,-15,0.4190
1M,10Y,-10,0.4087
1M,10Y,-5,0.3997
1M,10Y,0,0.3922
1M,10Y,5,0.3859
1M,10Y,10,0.3810
1M,10Y,15,0.3773
1M,10Y,20,0.3749
1M,10Y,25,0.3734
1M,10Y,50,0.3786
1M,10Y,75,0.3982
1M,10Y,100,0.4237
1M,10Y,150,0.4732
1M,10Y,200,0.5186
1Y,10Y,-200,NA
1Y,10Y,-150,0.9561
1Y,10Y,-100,0.6572
1Y,10Y,-75,0.5768
1Y,10Y,-50,0.5167
1Y,10Y,-25,0.4704
1Y,10Y,0,0.4343
1Y,10Y,25,0.4066
1Y,10Y,50,0.3858
1Y,10Y,75,0.3706
1Y,10Y,100,0.3598
1Y,10Y,150,0.3478
1Y,10Y,200,0.3437
2Y,10Y,-200,2.1527
2Y,10Y,-150,0.8126
2Y,10Y,-100,0.5968
2Y,10Y,-75,0.5326
2Y,10Y,-50,0.4831
2Y,10Y,-25,0.4438
2Y,10Y,0,0.4123
2Y,10Y,25,0.3869
2Y,10Y,50,0.3666
2Y,10Y,75,0.3506
2Y,10Y,100,0.3381
2Y,10Y,150,0.3215
2Y,10Y,200,0.3126
3M,10Y,-200,NA
3M,10Y,-150,1.2754
3M,10Y,-100,0.7706
3M,10Y,-75,0.6444
3M,10Y,-50,0.5518
3M,10Y,-25,0.4839
3M,10Y,-20,0.4730
3M,10Y,-15,0.4630
3M,10Y,-10,0.4537
3M,10Y,-5,0.4454
3M,10Y,0,0.4379
3M,10Y,5,0.4311
3M,10Y,10,0.4252
3M,10Y,15,0.4201
3M,10Y,20,0.4156
3M,10Y,25,0.4118
3M,10Y,50,0.4015
3M,10Y,75,0.4016
3M,10Y,100,0.4075
3M,10Y,150,0.4264
3M,10Y,200,0.4467
3Y,10Y,-200,1.2763
3Y,10Y,-150,0.7217
3Y,10Y,-100,0.5521
3Y,10Y,-75,0.4980
3Y,10Y,-50,0.4554
3Y,10Y,-25,0.4210
3Y,10Y,0,0.3928
3Y,10Y,25,0.3699
3Y,10Y,50,0.3511
3Y,10Y,75,0.3358
3Y,10Y,100,0.3237
3Y,10Y,150,0.3065
3Y,10Y,200,0.2965
4Y,10Y,-200,1.0370
4Y,10Y,-150,0.6589
4Y,10Y,-100,0.5163
4Y,10Y,-75,0.4691
4Y,10Y,-50,0.4310
4Y,10Y,-25,0.4000
4Y,10Y,0,0.3743
4Y,10Y,25,0.3532
4Y,10Y,50,0.3357
4Y,10Y,75,0.3214
4Y,10Y,100,0.3098
4Y,10Y,150,0.2932
4Y,10Y,200,0.2831
5Y,10Y,-200,0.9182
5Y,10Y,-150,0.6181
5Y,10Y,-100,0.4915
5Y,10Y,-75,0.4486
5Y,10Y,-50,0.4135
5Y,10Y,-25,0.3846
5Y,10Y,0,0.3606
5Y,10Y,25,0.3408
5Y,10Y,50,0.3244
5Y,10Y,75,0.3110
5Y,10Y,100,0.3001
5Y,10Y,150,0.2844
5Y,10Y,200,0.2749
6M,10Y,-200,NA
6M,10Y,-150,1.1043
6M,10Y,-100,0.7136
6M,10Y,-75,0.6130
6M,10Y,-50,0.5387
6M,10Y,-25,0.4832
6M,10Y,0,0.4428
6M,10Y,25,0.4150
6M,10Y,50,0.3976
6M,10Y,75,0.3880
6M,10Y,100,0.3838
6M,10Y,150,0.3847
6M,10Y,200,0.3910
6Y,10Y,-200,0.8326
6Y,10Y,-150,0.5803
6Y,10Y,-100,0.4661
6Y,10Y,-75,0.4267
6Y,10Y,-50,0.3942
6Y,10Y,-25,0.3672
6Y,10Y,0,0.3447
6Y,10Y,25,0.3261
